Região,Mês,Temperatura (°C),Umidade (%)
Centro-Oeste,Janeiro,25.7,76.7
Centro-Oeste,Fevereiro,25.6,76.6
Centro-Oeste,Março,25.9,78.3
Centro-Oeste,Abril,25.5,77.2
Centro-Oeste,Maio,23.4,68.0
Centro-Oeste,Junho,23.2,57.8
Centro-Oeste,Julho,21.8,54.0
Centro-Oeste,Agosto,23.6,43.0
Centro-Oeste,Setembro,27.3,41.0
Centro-Oeste,Outubro,26.8,62.4
Centro-Oeste,Novembro,25.3,75.0
Centro-Oeste,Dezembro,25.2,76.7
Norte,Janeiro,26.6,83.1
Norte,Fevereiro,26.6,82.7
Norte,Março,26.8,83.6
Norte,Abril,26.7,84.3
Norte,Maio,26.7,79.5
Norte,Junho,26.6,73.1
Norte,Julho,26.3,66.4
Norte,Agosto,27.2,62.5
Norte,Setembro,28.8,58.9
Norte,Outubro,28.4,68.5
Norte,Novembro,27.5,75.3
Norte,Dezembro,26.7,80.3
Nordeste,Janeiro,27.4,71.8
Nordeste,Fevereiro,26.7,75.9
Nordeste,Março,27.1,77.3
Nordeste,Abril,26.4,80.4
Nordeste,Maio,25.8,75.7
Nordeste,Junho,24.8,72.9
Nordeste,Julho,24.4,67.5
Nordeste,Agosto,25.3,62.2
Nordeste,Setembro,26.2,57.8
Nordeste,Outubro,27.6,60.1
Nordeste,Novembro,27.5,63.4
Nordeste,Dezembro,27.7,64.6
Sul,Janeiro,22.7,78.2
Sul,Fevereiro,23.9,78.5
Sul,Março,22.7,79.3
Sul,Abril,20.9,82.0
Sul,Maio,16.5,83.9
Sul,Junho,16.8,78.2
Sul,Julho,13.5,80.3
Sul,Agosto,15.5,71.7
Sul,Setembro,19.1,73.5
Sul,Outubro,20.0,75.7
Sul,Novembro,21.7,75.0
Sul,Dezembro,21.2,76.4
Sudeste,Janeiro,24.5,77.7
Sudeste,Fevereiro,24.5,78.2
Sudeste,Março,24.8,78.7
Sudeste,Abril,23.6,75.5
Sudeste,Maio,22.1,71.2
Sudeste,Junho,20.3,67.4
Sudeste,Julho,19.5,66.4
Sudeste,Agosto,20.3,60.5
Sudeste,Setembro,23.8,55.3
Sudeste,Outubro,23.7,68.9
Sudeste,Novembro,23.3,75.8
Sudeste,Dezembro,24.1,77.4
